Name,Formula,CAS,wt,CPLC1,CPLC2,CPLC3,CPLC4,CPLC5,CPLTmin,CPLTmax,Tc,Pc,Vc,Zc,Acentric factor,Hig_f,Gig_f,Sig,Hstd_c,VPC1,VPC2,VPC3,VPC4,VPC5,VPTmin,VPTmax,LDC1,LDC2,LDC3,LDC4,LDTmin,LDTmax,HVC1,HVC2,HVC3,HVC4,HVTmin,HVTmax,CPGC1,CPGC2,CPGC3,CPGC4,CPGC5,CPGTmin,CPGTmax,VAPVISC1,VAPVISC2,VAPVISC3,VAPVISC4,VAPVISTmin,VAPVISTmax,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,LIQVISC5,LIQVISTmin,LIQVISTmax,GASTCC1,GASTCC2,GASTCC3,GASTCC4,GASTCTmin,GASTCTmax,LICTCC1,LICTCC2,LICTCC3,LICTCC4,LICTCC5,LICTCTmin,LICTCYmax
Acetaldehyde,C2H4O,75-07-0,44.05,115100,-433,1.425,0,0,150.15,294,466,5.55,0.154,0.221,0.2907,-166.4,-133.3,0.2642,-1104.5,193.69,"-8,036.70",-29.502,0.043678,1,150.15,466,1.6994,0.26167,466,0.2913,150.15,466,38366000,0.40081,0,0,150.15,466,44510,106870,1614.1,61350,737.8,200,1500,1.22E-07,0.787,77,0,150.15,1000,-5.895,668.21,-0.84323,0,0,150.15,294,3.73E-07,1.8129,0,0,273.15,994,0.311,-0.000436,0,0,0,150.15,294
Acetamide,C2H5NO,60-35-5,59.07,102300,128.7,0,0,0,354.15,571,761,6.6,0.215,0.224,0.421,-238.3,-159.6,0.2722,-1074.1,125.81,"-12,376",-14.589,5.08E-06,2,353.33,761,1.016,0.21845,761,0.26116,353.33,761,81070000,0.42,0,0,353.15,761,34200,129400,1075,64000,502,100,1500,1.42E-07,0.7574,272.14,0,353.33,1000,1.5525,1376.4,-2.0126,0,0,353.33,494.3,0.00013195,0.97,728.3,0,494.3,"1,000",0.39363,-0.00037053,0,0,0,353.33,494.3
Acetic acid,C2H4O2,64-19-7,60.05,139640,-320.8,0.8985,0,0,289.81,391.05,591.95,5.786,0.177,0.208,0.4665,-461.1,-403,0.2825,-786.6,53.27,"-6,304.50",-4.2985,8.89E-18,6,289.81,591.95,1.4486,0.25892,591.95,0.2529,289.81,591.95,40179000,2.6037,-5.0031,2.7069,289.81,591.95,40200,136750,1262,70030,569.7,50,1500,2.74E-08,1.0123,7.4948,0,289.81,1000,-9.03,1212.3,-0.322,0,0,289.81,391.05,0,1.6692,658,"-95,400",294.7,686.88,0.214,-0.0001834,0,0,0,289.81,391.05
Acetic anhydride,C4H6O3,108-24-7,102.09,36600,511,0,0,0,250,350,606,4,0.29,0.23,0.4535,-572.5,-473.4,0.3899,-1675,100.95,"-8,873.20",-11.451,6.13E-06,2,200.15,606,0.86852,0.25187,606,0.31172,200.15,606,63520000,0.3986,0,0,200.15,606,71300,222200,1620.3,167600,746.5,200,1500,0.00000012,0.7915,105.3,0,200.15,1000,-14.164,1350.3,0.4492,0,0,210,412.7,0.00042004,0.8066,439.37,"142,620",412.7,"1,000",0.23638,-0.00024263,0,0,0,200.15,412.7
Acetone,C3H6O,67-64-1,58.08,135600,-177,0.2837,0.000689,0,178.45,329.44,508.2,4.701,0.209,0.233,0.3065,-215.7,-151.3,0.2954,-1659,69.006,"-5,599.60",-7.0985,6.22E-06,2,178.45,508.2,1.2332,0.25886,508.2,0.2913,178.45,508.2,42150000,0.3397,0,0,178.45,508.2,57040,163200,1607,96800,731.5,200,1500,3.10E-08,0.9762,23.139,0,178.45,1000,-14.918,1023.4,0.5961,0,0,190,329.44,-26.8,0.9098,"-126,500,000",0,329.44,"1,000",0.2878,-0.000427,0,0,0,178.45,343.15
Acetonitrile,C2H3N,75-05-8,41.05,97582,-122.2,0.34085,0,0,229.32,354.75,545.5,4.83,0.173,0.184,0.3379,74.04,91.868,0.24329,-1190.43,58.302,"-5,385.60",-5.4954,5.36E-06,2,229.32,545.5,1.3064,0.22597,545.5,0.28678,229.32,545.5,43511000,0.34765,0,0,229.32,545.5,41914,88760,1581.8,50320,699.8,100,1500,5.20E-08,0.8857,38.805,0,229.32,1000,-10.906,872.02,0,0,0,229.32,436.4,4.90E-08,2.1091,0,0,354.75,994.75,0.33192,-0.00043243,0,0,0,229.32,349.32
Acetylene,C2H2,74-86-2,26.04,-122020,3082.7,-15.895,0.027732,0,192.4,250,308.3,6.138,0.112,0.268,0.1912,228.2,210.68,0.20081,-1257,39.63,"-2,552.20",-2.78,2.39E-16,6,192.4,308.3,2.4507,0.27448,308.3,0.28752,192.4,308.3,23214000,0.35938,0,0,192.4,308.3,31990,54240,1594,43250,607.1,200,1500,1.20E-06,0.4952,291.4,0,192.4,600,6.224,-151.8,-2.6554,0,0,193.15,273.15,0,1.0327,-36.227,"31,432",189.35,"1,000",0.33363,-0.00083655,0,0,0,192.4,250
Acrolein,C3H4O,107-02-8,56.06,103090,-247.8,1.0343,0,0,253,379.5,506,5,0.197,0.234,0.3198,-81.8,-56.8,0.297,-1546.8,138.4,"-7,122.70",-19.638,0.026447,1,185.45,506,1.3261,0.26124,506,0.2489,185.45,506,38736000,0.29335,0,0,185.45,506,48449,125460,1397.9,87243,633.26,200,1500,6.52E-07,0.579,410.8,0,185.45,1000,-12.032,867.34,0.19534,0,0,185.45,353.22,0.0241,0.3285,1325.3,"577,830",325.84,"1,000",0.2703,-0.0003764,0,0,0,185.45,325.84
Acrylic acid,C3H4O2,79-10-7,72.06,55300,300,0,0,0,286.15,375,615,5.66,0.208,0.23,0.5383,-355.91,-306,0.315,-1327.17,46.745,"-6,587.10",-3.2208,5.23E-07,2,286.15,615,1.2414,0.25822,615,0.30701,286.15,615,43756000,2.2571,-4.5116,2.5738,286.15,615,60590,137030,1647.5,104460,751.49,250,1500,1.72E-07,0.7418,138.4,0,286.15,1000,-28.12,2280.2,2.3956,0,0,286.15,460,0.001,0.7035,627.58,"112,460",414.15,"1,000",0.2441,-0.0002904,0,0,0,286.15,484.5
Acrylonitrile,C3H3N,107-13-1,53.06,109900,-109.75,0.35441,0,0,189.63,400,535,4.48,0.212,0.214,0.3498,183.7,193.7,0.2753,-1690,87.604,"-6,392.70",-10.101,0.000010891,2,189.63,535,1.0816,0.2293,535,0.28939,189.63,535,41550000,0.2733,0,0,189.63,535,46780,103660,1399.8,65360,629.35,200,1500,4.30E-08,0.9114,54.3,0,189.63,1000,2.019,239.7,-1.8975,0,0,220,350.5,0.001,1.2093,"50,594",0,350.5,990.5,0.28941,-0.00041691,0,0,0,189.63,350.5
